Timestamp,Temperature,Temperature_setpoint,Temperature_error,Temperature_PID_output,Temperature_Kp,Temperature_Ki,Temperature_Kd,Timestamp (s),Diameter,Diameter_setpoint,Fan_duty_cycle,Extruder_RPM,Spooler_setpoint,Spooler_RPM,Spooler_Kp,Spooler_Ki,Spooler_Kd
95.902,84.98287193,90,6.031066603,15.15472637,2,0.001,0.05,1743096704,0,0.35,30,0.1,30,30.47246167,0.8,0.25,0.02
96.217,85.23724448,90,5.035035836,13.05181631,2,0.001,0.05,1743096705,0,0.35,30,0.1,30,31.65891053,0.8,0.25,0.02
96.502,85.4899424,90,4.770673681,12.63629964,2,0.001,0.05,1743096705,0,0.35,30,0.1,30,28.26660092,0.8,0.25,0.02
96.804,85.61640499,90,4.556456527,12.22024793,2,0.001,0.05,1743096705,0,0.35,30,0.1,30,29.7774743,0.8,0.25,0.02
97.113,85.86956258,90,4.316923613,11.73911799,2,0.001,0.05,1743096705,0,0.35,30,0.1,30,30.92003789,0.8,0.25,0.02
97.422,85.99625967,90,5.190409401,13.66758911,2,0.001,0.05,1743096705,0,0.35,30,0.1,30,28.67665687,0.8,0.25,0.02
97.726,86.24989565,90,4.800074734,12.68306163,2,0.001,0.05,1743096706,0,0.35,30,0.1,30,30.05945425,0.8,0.25,0.02
98.021,98.15435968,90,3.357141597,9.61775588,2,0.001,0.05,1743096706,0,0.35,30,0.1,30,31.14412684,0.8,0.25,0.02
98.316,85.99625967,90,3.205408448,9.534187354,2,0.001,0.05,1743096706,0,0.35,30,0.1,30,31.51745057,0.8,0.25,0.02
98.607,86.63096981,90,2.977622913,9.066004585,2,0.001,0.05,1743096706,0,0.35,30,0.1,30,30.98790558,0.8,0.25,0.02
98.939,87.26981124,90,2.748928982,8.614334935,2,0.001,0.05,1743096706,0,0.35,30,0.1,30,30.34195589,0.8,0.25,0.02
99.24,92.99173087,90,1.973480344,6.969623819,2,0.001,0.05,1743096707,0,0.35,30,0.1,30,29.15088236,0.8,0.25,0
99.549,87.39745041,90,1.782729543,6.686616099,2,0.001,0.05,1743096707,0,0.35,30,0.1,30,27.76917245,0.8,0.25,0
99.852,87.39745041,90,1.604625001,6.332344402,2,0.001,0.05,1743096707,0,0.35,30,0.1,30,29.98425512,0.8,0.25,0
100.151,79.36082159,90,2.2554991,7.773057145,2,0.001,0.05,1743096707,0,0.35,30,0.1,30,29.91695768,0.8,0.25,0
100.451,88.55046837,90,2.000078229,7.111407005,2,0.001,0.05,1743096707,0,0.35,30,0.1,30,30.53408553,0.8,0.25,0
100.758,88.0370464,90,1.821363153,6.76788143,2,0.001,0.05,1743096708,0,0.35,30,0.1,30,30.44130128,0.8,0.25,0.04
101.05,88.42196309,90,2.794602813,8.910601482,2,0.001,0.05,1743096708,0,0.35,30,0.1,30,31.3315508,0.8,0.25,0.04
